ts_code,name,coverage_count,recent_30d_count,latest_report_date,positive_pct,negative_pct,neutral_pct,recent_positive_pct,rating_trend,eps_y1_mean,eps_y1_std,eps_y1_year,pe_y1_mean,tp_mean,tp_count,tp_change,tp_change_pct,tp_raised_count,tp_cut_count
600015.SH,华夏银行,5,2,2026-04-30,60.0,0.0,40.0,50.0,降级,1.75,0.11,2026.0,4.4,8.52,2,-1.16,-12.7,0,0
600011.SH,华能国际,5,5,2026-05-14,100.0,0.0,0.0,100.0,数据不足,0.81,0.03,2026.0,9.4,9.35,2,0.5,5.5,0,0
600010.SH,包钢股份,5,1,2026-04-29,100.0,0.0,0.0,100.0,数据不足,0.03,0.03,2025.0,123.2,3.22,4,0.0,0.0,0,0
600009.SH,上海机场,5,5,2026-05-05,80.0,0.0,20.0,80.0,数据不足,1.05,0.09,2026.0,26.0,32.37,3,3.8,12.3,0,0
600004.SH,白云机场,5,0,2025-05-13,80.0,0.0,20.0,,数据不足,0.45,0.07,2024.0,20.8,10.93,3,0.4,3.7,0,0
600000.SH,浦发银行,5,5,2026-05-04,80.0,0.0,20.0,80.0,数据不足,1.58,0.06,2026.0,6.1,12.76,2,2.87,25.4,0,0
302132.SZ,中航成飞,5,2,2026-05-05,100.0,0.0,0.0,100.0,稳定,1.4,0.04,2025.0,52.8,,0,,,0,0
301269.SZ,华大九天,5,2,2026-05-10,60.0,0.0,40.0,100.0,升级,0.2,0.11,2025.0,611.6,120.6,2,-8.8,-7.0,0,0
301236.SZ,软通动力,5,3,2026-05-12,100.0,0.0,0.0,100.0,稳定,0.29,0.07,2026.0,157.9,52.22,3,3.84,8.4,0,1
300999.SZ,金龙鱼,5,0,2026-04-21,80.0,0.0,20.0,,数据不足,0.71,0.13,2026.0,42.5,33.6,2,3.2,10.0,0,0
300979.SZ,华利集团,5,5,2026-05-13,100.0,0.0,0.0,100.0,数据不足,2.57,0.05,2026.0,14.8,44.03,1,,,0,0
300957.SZ,贝泰妮,5,0,2025-05-08,100.0,0.0,0.0,,数据不足,1.5,0.07,2025.0,27.4,47.1,3,5.58,12.7,0,0
300919.SZ,中伟股份,5,0,2025-05-08,80.0,0.0,20.0,,数据不足,2.05,0.04,2025.0,15.5,40.89,3,-4.67,-10.6,0,0
300896.SZ,爱美客,5,5,2026-05-10,80.0,0.0,20.0,80.0,数据不足,4.65,0.14,2026.0,25.3,123.0,1,,,0,0
300888.SZ,稳健医疗,5,0,2025-05-13,100.0,0.0,0.0,,数据不足,1.78,0.05,2025.0,29.1,63.47,2,-3.06,-4.7,0,0
300866.SZ,安克创新,5,5,2026-05-13,80.0,0.0,20.0,80.0,数据不足,6.07,0.15,2026.0,20.7,160.0,1,,,0,0
300832.SZ,新产业,5,5,2026-05-12,80.0,0.0,20.0,80.0,数据不足,2.36,0.03,2026.0,20.4,65.0,1,,,0,0
300782.SZ,卓胜微,5,5,2026-05-05,0.0,20.0,80.0,0.0,数据不足,0.51,0.34,2026.0,573.8,82.25,4,-4.0,-4.4,0,0
300769.SZ,德方纳米,5,0,2025-05-08,60.0,0.0,40.0,,数据不足,1.79,1.47,2025.0,27.0,25.0,1,,,0,0
300763.SZ,锦浪科技,5,0,2025-05-07,80.0,0.0,20.0,,数据不足,2.7,0.22,2025.0,19.6,62.32,3,12.24,21.6,0,0
300760.SZ,迈瑞医疗,5,5,2026-05-13,100.0,0.0,0.0,100.0,数据不足,7.07,0.18,2026.0,24.0,200.67,3,-3.0,-1.4,0,0
300759.SZ,康龙化成,5,5,2026-05-15,80.0,0.0,20.0,80.0,数据不足,1.12,0.01,2026.0,24.6,38.91,3,-2.92,-7.2,0,0
300751.SZ,迈为股份,5,0,2025-05-08,100.0,0.0,0.0,,数据不足,3.37,0.46,2025.0,26.8,87.75,2,-9.5,-10.3,0,0
600016.SH,民生银行,5,2,2026-05-03,80.0,0.0,20.0,50.0,降级,0.7,0.02,2026.0,5.6,4.96,2,0.49,10.4,0,0
600019.SH,宝钢股份,5,2,2026-04-30,80.0,0.0,20.0,100.0,升级,0.49,0.05,2025.0,14.0,7.88,2,0.53,7.0,0,0
300677.SZ,英科医疗,5,0,2025-04-28,100.0,0.0,0.0,,数据不足,2.1,0.23,2024.0,12.3,,0,,,0,0
600023.SH,浙能电力,5,5,2026-05-14,100.0,0.0,0.0,100.0,数据不足,0.43,0.02,2026.0,13.6,6.8,3,-0.52,-7.3,0,0
600143.SH,金发科技,5,0,2025-05-07,100.0,0.0,0.0,,数据不足,0.54,0.01,2025.0,20.2,13.5,1,,,0,0
600132.SH,重庆啤酒,5,0,2025-05-12,100.0,0.0,0.0,,数据不足,2.62,0.03,2025.0,21.8,,0,,,0,0
600115.SH,中国东航,5,3,2026-05-07,60.0,0.0,40.0,66.7,升级,0.07,0.02,2026.0,81.6,5.98,4,0.1,1.7,0,0
600111.SH,北方稀土,5,4,2026-05-06,100.0,0.0,0.0,100.0,数据不足,1.2,0.07,2026.0,42.0,62.06,4,2.37,3.7,1,0
600109.SH,国金证券,5,0,2025-04-28,100.0,0.0,0.0,,数据不足,0.52,0.04,2025.0,15.4,9.42,1,,,0,0
